trans_date,transaction_amount
2020-07-03,123600
2020-07-03,123600
2020-07-03,123600
2020-07-03,306000
2020-07-03,382000
2020-07-03,306000
2020-07-03,406500
2020-07-03,21700
2020-07-03,306000
2020-07-03,153650
2020-07-03,103600
2020-07-03,103600
2020-07-03,382000
2020-07-03,386000
2020-07-03,153650
2020-07-03,103600
2020-07-03,1289250
2020-07-03,407000
2020-07-03,382000
2020-07-03,103600
2020-07-03,486500
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,123600
2020-07-03,103600
2020-07-03,366000
2020-07-03,245100
2020-07-03,407000
2020-07-03,103600
2020-07-03,153650
2020-07-03,561000
2020-07-03,366000
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,153650
2020-07-03,245100
2020-07-03,103600
2020-07-03,138550
2020-07-03,407000
2020-07-03,103600
2020-07-03,153650
2020-07-03,245100
2020-07-03,727500
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,183600
2020-07-03,153650
2020-07-03,103600
2020-07-03,245100
2020-07-03,407000
2020-07-03,407000
2020-07-03,306000
2020-07-03,103600
2020-07-03,103600
2020-07-03,42350
2020-07-03,918000
2020-07-03,486500
2020-07-03,245100
2020-07-03,567000
2020-07-03,153650
2020-07-03,407000
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,358500
2020-07-03,205100
2020-07-03,727500
2020-07-03,482500
2020-07-03,153650
2020-07-03,103600
2020-07-03,103600
2020-07-03,407000
2020-07-03,123600
2020-07-03,153650
2020-07-03,547000
2020-07-03,245100
2020-07-03,153650
2020-07-03,103600
2020-07-03,153650
2020-07-03,103600
2020-07-03,366000
2020-07-03,123600
2020-07-03,407000
2020-07-03,103600
2020-07-03,196100
2020-07-03,103600
2020-07-03,3008000
2020-07-03,103600
2020-07-03,454500
2020-07-03,103600
2020-07-03,366000
2020-07-03,245100
2020-07-03,407000
2020-07-03,103600
2020-07-03,153650
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,607500
2020-07-03,103600
2020-07-03,103600
2020-07-03,153650
2020-07-03,123600
2020-07-04,153650
2020-07-04,173650
2020-07-04,153650
2020-07-04,153650
2020-07-04,1028000
2020-07-04,72700
2020-07-04,153650
2020-07-04,407000
2020-07-05,52700
2020-07-05,26850
2020-07-05,52700
2020-07-05,52700
2020-07-05,153650
2020-07-05,26850
2020-07-05,20200
2020-07-05,407000
2020-07-05,26850
2020-07-05,52700
2020-07-05,52700
2020-07-05,153650
2020-07-05,20200
2020-07-05,123650
2020-07-05,153650
2020-07-05,407000
2020-07-05,26850
2020-07-05,20200
2020-07-05,26850
2020-07-05,13950
2020-07-05,52700
2020-07-05,52700
2020-07-05,26850
2020-07-05,20200
2020-07-06,217300
2020-07-06,52700
2020-07-06,21850
2020-07-06,123650
2020-07-06,52700
2020-07-06,31850
2020-07-06,306500
2020-07-06,487000
2020-07-06,62700
2020-07-06,52700
2020-07-06,123650
2020-07-06,26850
2020-07-06,306500
2020-07-06,52700
2020-07-06,306500
2020-07-06,52700
2020-07-06,163650
2020-07-06,407000
2020-07-06,62700
2020-07-06,42350
2020-07-06,62700
2020-07-06,163650
2020-07-06,42350
2020-07-06,52700
2020-07-06,123650
2020-07-06,306500
2020-07-06,52700
2020-07-06,52700
2020-07-06,123650
2020-07-06,20200
2020-07-06,31850
2020-07-06,52700
2020-07-06,123650
2020-07-06,31850
2020-07-06,21850
2020-07-06,163650
2020-07-06,62700
2020-07-06,62700
2020-07-06,407000
2020-07-06,42350
2020-07-06,52700
2020-07-06,123650
2020-07-06,11450
2020-07-06,407000
2020-07-06,42350
2020-07-06,407000
2020-07-06,62700
2020-07-06,123650
2020-07-06,52700
2020-07-06,163650
2020-07-06,31850
2020-07-06,21700
2020-07-06,31850
2020-07-06,62700
2020-07-06,163650
2020-07-06,52700
2020-07-06,205300
2020-07-06,205300
2020-07-06,205300
2020-07-06,21850
2020-07-06,163650
2020-07-06,52700
2020-07-06,31850
2020-07-06,72700
2020-07-06,42350
2020-07-06,123650
2020-07-06,52700
2020-07-06,82700
2020-07-06,407000
2020-07-06,163650
2020-07-06,52700
2020-07-06,163650
2020-07-06,52700
2020-07-06,21850
2020-07-06,31850
2020-07-06,487000
2020-07-06,31850
2020-07-06,163650
2020-07-06,163650
2020-07-06,52700
2020-07-06,42350
2020-07-06,82700
2020-07-06,21700
2020-07-06,153650
2020-07-06,31850
2020-07-06,26850
2020-07-06,11450
2020-07-06,366500
2020-07-06,62700
2020-07-06,42350
2020-07-06,26850
